User;From;To;Effort;Department;Supervisor;Gender;Birthday
Amelia Anderson;26.02.2025;;1;Dep1;Benjamin Smith;male;14.05.1994
Julius Anderson;17.03.2025;;0,7;Dep1;Benjamin Smith;male;12.03.1997
Amelia Rodriguez;20.04.2025;;1;Dep2;Wyatt White;female;22.10.1998
Aurora Martinez;10.04.2025;;0,5;Dep3;Nora Brown;diverse;25.04.1974
Benjamin Smith;26.06.2025;22.10.2025;0,5;Dep1;Benjamin Smith;male;29.04.1979
Carter Clark;13.12.2025;02.11.2026;1;Dep3;Nora Brown;diverse;19.02.1960
Charlotte Garcia;08.04.2025;;0,5;Dep3;Nora Brown;diverse;24.06.1990
Charlotte Thomas;19.12.2025;;0,7;Dep1;Benjamin Smith;male;19.05.1988
Chloe Taylor;11.01.2025;;1;Dep1;Benjamin Smith;female;02.11.1990
Chloe White;17.09.2025;;0,7;Dep2;Wyatt White;male;12.08.2003
Daniel Martinez;26.08.2025;;1;Dep3;Nora Brown;female;07.04.1995
Daniela Martinez;15.05.2025;09.10.2025;1;Dep1;Benjamin Smith;female;17.09.2004
David Thomas;12.06.2025;;1;Dep2;Wyatt White;diverse;01.08.1991
Heinz Thomas;01.04.2025;23.03.2026;0,7;Dep2;Wyatt White;male;10.08.1997
Elijah Robinson;12.01.2025;06.09.2025;0,5;Dep2;Wyatt White;diverse;13.04.1962
Elijah Myers;23.12.2025;23.02.2026;1;Dep2;Wyatt White;diverse;26.05.1972
Elijah Taylor;09.06.2025;;0,7;Dep3;Nora Brown;male;04.05.2002
Elijah Thompson;21.01.2025;;0,5;Dep2;Wyatt White;female;16.09.1997
Ella Martinez;09.01.2025;;0,5;Dep3;Nora Brown;female;17.04.1969
Ella Taylor;05.12.2025;09.02.2026;0,7;Dep1;Benjamin Smith;male;03.01.1969
Ellie White;25.03.2025;;1;Dep1;Benjamin Smith;male;14.05.1993
Emma Thompson;30.10.2025;04.04.2026;1;Dep2;Wyatt White;diverse;26.04.1960
Henry White;04.11.2025;01.08.2026;0,5;Dep1;Benjamin Smith;diverse;26.08.1960
Isabella Clark;20.08.2025;26.06.2026;0,5;Dep2;Wyatt White;female;25.08.1979
Jack Clark;23.05.2025;;0,5;Dep1;Benjamin Smith;diverse;24.11.1997
James Johnson;26.10.2025;;0,7;Dep1;Benjamin Smith;female;02.11.2000
Joseph Martin;11.05.2025;23.01.2026;1;Dep1;Benjamin Smith;female;23.04.1997
Leo Thompson;25.05.2025;23.06.2026;1;Dep2;Wyatt White;male;12.06.1964
Lucas Brown;05.04.2025;06.05.2026;0,5;Dep1;Benjamin Smith;diverse;15.09.1965
Luna Clark;17.12.2025;19.01.2026;1;Dep2;Wyatt White;male;25.04.1991
Matthew Anderson;20.11.2025;30.09.2026;0,5;Dep2;Wyatt White;male;18.08.1986
Matthew Harris;11.10.2025;;0,7;Dep2;Wyatt White;female;14.02.1961
Matthew Thomas;12.06.2025;22.11.2025;1;Dep3;Nora Brown;diverse;01.06.1996
Mia White;28.10.2025;26.07.2026;0,7;Dep1;Benjamin Smith;male;14.07.1982
Noah Brown;14.09.2025;17.04.2026;0,7;Dep1;Benjamin Smith;diverse;11.03.1979
Nora Anderson;05.02.2025;14.01.2026;0,5;Dep3;Nora Brown;female;07.09.1965
Nora Brown;14.01.2025;;0,7;Dep1;Benjamin Smith;female;22.09.1992
Skylar Harris;17.07.2025;04.10.2025;1;Dep1;Benjamin Smith;female;22.05.1988
Nora Harris;28.10.2025;;1;Dep2;Wyatt White;female;27.01.1990
Olivia Clark;29.08.2025;;0,7;Dep3;Nora Brown;female;20.11.1977
Olivia Thompson;09.01.2025;17.03.2025;0,5;Dep3;Nora Brown;female;18.01.1960
Oscar Thompson;07.03.2025;20.11.2025;0,7;Dep3;Nora Brown;diverse;25.10.2000
Oscar White;14.10.2025;;0,5;Dep3;Nora Brown;diverse;19.10.1989
Owen Anderson;31.03.2025;;1;Dep1;Benjamin Smith;male;30.10.1996
Sebastian Jackson;08.07.2025;22.09.2025;0,5;Dep1;Benjamin Smith;male;25.08.1990
Sofia Brown;01.04.2025;26.06.2025;1;Dep3;Nora Brown;female;19.04.2004
Stella White;01.05.2025;;0,7;Dep1;Benjamin Smith;male;23.06.1994
Wyatt Clark;19.01.2025;;0,5;Dep3;Nora Brown;male;24.09.1977
Wyatt Harris;10.04.2025;17.09.2025;1;Dep1;Benjamin Smith;female;18.03.2003
Wyatt White;23.05.2025;;1;Dep1;Benjamin Smith;diverse;08.10.2001
